City,State,Zip,Bank,BankState,NAICS,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,MIS_Status
JACKSON,MI,49202,FIFTH THIRD BANK,OH,811111,1,2,0,0,1,1,0,Y,"$54,000.00 ",$0.00 ,"$54,000.00 ","$45,900.00 ",P I F
SAN JUAN CAPISTRANO,CA,92675,WELLS FARGO BANK NATL ASSOC,CA,233320,50,1,7,50,1,1,Y,N,"$150,000.00 ",$0.00 ,"$150,000.00 ","$75,000.00 ",P I F
SPRINGFIELD,MO,65804,EMPIRE BANK,MO,453210,4,1,0,0,1,0,N,N,"$70,000.00 ",$0.00 ,"$70,000.00 ","$63,000.00 ",P I F
CHICAGO,IL,60602,DEVON BANK,IL,0,6,1,0,0,0,0,N,N,"$480,000.00 ",$0.00 ,"$480,000.00 ","$430,560.00 ",CHGOFF
HOUSTON,TX,77293,INTER NATIONAL BANK,TX,0,50,1,0,0,1,0,N,N,"$260,000.00 ",$0.00 ,"$260,000.00 ","$221,000.00 ",P I F
HENDERSON,NV,89014,WELLS FARGO BANK NATL ASSOC,SD,722410,12,1,0,12,1,1,Y,N,"$67,211.00 ",$0.00 ,"$40,000.00 ","$20,000.00 ",CHGOFF
LOMIRA,WI,53048,U.S. BANK NATIONAL ASSOCIATION,WI,0,12,1,0,0,1,0,N,N,"$180,000.00 ",$0.00 ,"$180,000.00 ","$126,000.00 ",P I F
NORTH RIDGEVILLE,OH,44039,THE LORAIN NATIONAL BANK,OH,332813,40,1,0,0,1,0,Y,N,"$299,400.00 ",$0.00 ,"$299,400.00 ","$239,520.00 ",P I F
KALISPELL,MT,59901,ROCKY MOUNTAIN BANK,MT,441310,1,1,0,1,1,2,0,N,"$70,000.00 ",$0.00 ,"$70,000.00 ","$35,000.00 ",P I F
LAFAYETTE,LA,70508,JPMORGAN CHASE BANK NATL ASSOC,IL,0,6,1,0,0,1,0,N,Y,"$70,000.00 ",$0.00 ,"$70,000.00 ","$63,000.00 ",CHGOFF
COMPTON,CA,90222,BANCO POPULAR NORTH AMERICA,NY,541613,2,1,2,4,1,1,Y,N,"$10,163.00 ",$0.00 ,"$5,000.00 ","$2,500.00 ",CHGOFF
SANTA ANA,CA,92704,GOVERMNET FUNDING CALBIDCO,CA,0,4,1,0,0,1,0,N,N,"$75,000.00 ",$0.00 ,"$75,000.00 ","$60,000.00 ",P I F
SHELBY,NC,28150,AVISTA BUS. DEVEL CORP,NC,0,19,1,17,0,1,0,N,N,"$205,000.00 ",$0.00 ,"$205,000.00 ","$205,000.00 ",P I F
ROBESONIA,PA,19551,MANUFACTURERS & TRADERS TR CO,MD,0,1,2,0,0,1,1,0,Y,"$26,600.00 ",$0.00 ,"$28,500.00 ","$22,800.00 ",P I F
LOUISVILLE,KY,40214,"PNC BANK, NATIONAL ASSOCIATION",DE,561499,2,2,5,2,1,1,0,N,"$80,000.00 ",$0.00 ,"$80,000.00 ","$40,000.00 ",P I F
PADUCAH,KY,42001,U.S. BANK NATIONAL ASSOCIATION,KY,0,2,2,0,0,0,0,N,N,"$129,000.00 ",$0.00 ,"$129,000.00 ","$116,100.00 ",CHGOFF
Sugar Grove,IL,60554,"PNC BANK, NATIONAL ASSOCIATION",IL,423830,4,1,1,4,0,1,Y,N,"$134,901.00 ",$0.00 ,"$75,000.00 ","$37,500.00 ",P I F
DYERSVILLE,IA,52040,FDIC/DYERSVILLE,IL,0,9,1,0,0,0,0,N,N,"$72,000.00 ",$0.00 ,"$72,000.00 ","$64,800.00 ",P I F
SAINT PETERSBURG,FL,33713,SYNOVUS BANK,FL,812199,1,2,10,1,1,1,0,N,"$100,000.00 ",$0.00 ,"$100,000.00 ","$85,000.00 ",P I F
FILLMORE,CA,93015,WELLS FARGO BANK NATL ASSOC,CA,812199,2,1,1,2,1,1,Y,N,"$9,417.00 ",$0.00 ,"$5,000.00 ","$2,500.00 ",P I F
SAN ANTONIO,TX,78221,BANK OF AMERICA NATL ASSOC,NC,0,5,1,0,0,1,0,Y,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
CULVER CITY,CA,90230,THE HUNTINGTON NATIONAL BANK,IN,0,2,1,0,0,1,1,N,N,"$176,000.00 ",$0.00 ,"$176,000.00 ","$132,000.00 ",P I F
PLAINVIEW,TX,79072,WILSHIRE BANK,CA,721110,4,1,0,0,1,2,N,N,"$1,100,000.00 ",$0.00 ,"$1,100,000.00 ","$825,000.00 ",P I F
RIVERSIDE,CA,92505,WELLS FARGO BANK NATL ASSOC,SD,484110,4,1,0,4,1,1,Y,N,"$63,086.00 ",$0.00 ,"$15,000.00 ","$7,500.00 ",P I F
LOUISVILLE,KY,40229,"PNC BANK, NATIONAL ASSOCIATION",PA,722211,100,1,0,0,74305,1,0,Y,"$150,000.00 ",$0.00 ,"$150,000.00 ","$127,500.00 ",P I F
COLLEGE PARK,GA,30337,GEORGIA CERT. DEVEL CORP,GA,721110,32,2,32,32,79140,1,N,N,"$1,182,000.00 ",$0.00 ,"$1,300,000.00 ","$1,300,000.00 ",P I F
GONZALES,LA,70737,IBERIABANK,LA,811121,5,2,0,0,1,1,N,N,"$371,000.00 ",$0.00 ,"$371,000.00 ","$278,250.00 ",P I F
Rochester,NY,14606,MANUFACTURERS & TRADERS TR CO,NY,443112,12,1,0,12,0,1,N,N,"$300,000.00 ",$0.00 ,"$300,000.00 ","$150,000.00 ",P I F
HYATTSVILLE,MD,20781,BANK OF AMERICA NATL ASSOC,NC,561730,4,1,3,4,1,1,Y,N,"$19,000.00 ",$0.00 ,"$19,000.00 ","$9,500.00 ",P I F
MIAMI,FL,33122,REGIONS BANK,AL,311811,28,1,15,43,0,1,N,N,"$124,316.00 ",$0.00 ,"$125,000.00 ","$62,500.00 ",P I F
PHILADELPHIA,PA,19123,CITIZENS BANK NATL ASSOC,RI,541613,5,2,0,5,0,1,Y,N,"$25,000.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",CHGOFF
INDIANAPOLIS,IN,46204,THE HUNTINGTON NATIONAL BANK,OH,441221,2,2,0,0,1,1,N,N,"$221,590.00 ",$0.00 ,"$221,590.00 ","$166,193.00 ",P I F
ROCKPORT,TX,78382,FIRST COMMUNITY BANK,TX,447110,0,2,2,2,0,1,N,N,"$85,000.00 ",$0.00 ,"$85,000.00 ","$72,250.00 ",P I F
BRINKLEY,AR,72021,ECD INVESTMENTS BIDCO CORP,LA,235110,4,2,0,0,1,1,0,Y,"$85,700.00 ",$0.00 ,"$85,700.00 ","$72,845.00 ",P I F
POUGHKEEPSIE,NY,12603,FIRST NIAGARA BANK NATL ASSOC,NY,722213,4,2,4,4,1,1,Y,N,"$120,000.00 ",$0.00 ,"$120,000.00 ","$60,000.00 ",P I F
SOUTH DAYTONA (RR NAME BLAKE),FL,32119,AMER BUS. LENDING INC.,TX,624410,12,1,0,12,1,1,0,N,"$355,500.00 ",$0.00 ,"$355,500.00 ","$266,625.00 ",CHGOFF
OSCEOLA,NE,68651,PINNACLE BANK,NE,444130,2,1,0,0,1,2,0,Y,"$45,000.00 ",$0.00 ,"$45,000.00 ","$38,250.00 ",P I F
Aliquippa,PA,15001,THE HUNTINGTON NATIONAL BANK,OH,445120,0,1,0,0,0,1,Y,N,"$56,245.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",CHGOFF
OAKLAND PARK,FL,33334,BANK OF AMERICA NATL ASSOC,NC,561499,1,1,0,1,1,1,N,N,"$10,000.00 ",$0.00 ,"$10,000.00 ","$5,000.00 ",CHGOFF
DAYTON,OH,45402,"PNC BANK, NATIONAL ASSOCIATION",DE,722110,25,1,0,0,1,1,N,N,"$200,000.00 ",$0.00 ,"$200,000.00 ","$150,000.00 ",CHGOFF
TEMPE,AZ,85282,SOUTHWESTERN BUS. FINANCING CO,AZ,333514,42,1,24,18,1,1,N,N,"$804,000.00 ",$0.00 ,"$825,000.00 ","$825,000.00 ",P I F
CASTALIN SPGS,TN,37031,"SOUTH CENTRAL BANK, INC.",KY,621310,3,2,0,0,1,2,N,Y,"$66,409.00 ",$0.00 ,"$105,000.00 ","$89,250.00 ",CHGOFF
MATTAWAN,MI,48846,MERCANTILE BANK OF MICHIGAN,MI,812910,3,1,0,0,1,1,0,Y,"$127,500.00 ",$0.00 ,"$127,500.00 ","$108,375.00 ",P I F
MANCHESTER,NH,3103,CITIZENS BANK NATL ASSOC,RI,811111,1,1,0,1,0,1,Y,N,"$46,652.00 ",$0.00 ,"$15,000.00 ","$7,500.00 ",P I F
Parma,OH,44134,"PNC BANK, NATIONAL ASSOCIATION",DE,339920,1,1,0,1,0,1,N,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
SHREWSBURY,NJ,7702,"PNC BANK, NATIONAL ASSOCIATION",DE,561320,41,1,10,41,1,1,0,N,"$700,000.00 ",$0.00 ,"$700,000.00 ","$525,000.00 ",P I F
CASTROVILLE,TX,78009,SECURITY SERVICE FCU,TX,325611,13,2,0,0,1,2,0,Y,"$150,000.00 ",$0.00 ,"$150,000.00 ","$127,500.00 ",P I F
BEAUMONT,TX,77707,TEXAS ST. BANK A DIVISION OF,TX,0,1,2,0,0,1,0,N,N,"$35,000.00 ",$0.00 ,"$35,000.00 ","$31,500.00 ",P I F
SPRINGFIELD,IL,62702,U.S. BANK NATIONAL ASSOCIATION,IL,0,25,1,0,0,1,0,N,Y,"$100,000.00 ",$0.00 ,"$100,000.00 ","$80,000.00 ",P I F
NEW YORK,NY,10011,FLUSHING BANK,NY,812112,35,1,0,35,1,1,0,N,"$1,000,000.00 ",$0.00 ,"$1,000,000.00 ","$750,000.00 ",P I F
GEORGETOWN,TX,78628,BANK OF AMERICA NATL ASSOC,OR,0,5,1,0,0,1,0,0,N,"$750,000.00 ",$0.00 ,"$750,000.00 ","$562,500.00 ",P I F
FAIRFIELD,CA,94533,FIRST NORTHERN BANK OF DIXON,CA,421310,2,1,0,0,1,1,0,Y,"$100,000.00 ",$0.00 ,"$100,000.00 ","$80,000.00 ",P I F
Harrisonburg,VA,22802,"READYCAP LENDING, LLC",CA,811111,5,1,0,5,0,1,N,N,"$520,000.00 ",$0.00 ,"$550,000.00 ","$412,500.00 ",P I F
EL PASO,TX,79901,WESTSTAR BANK,TX,541310,2,2,4,6,1,1,Y,N,"$139,648.00 ",$0.00 ,"$100,000.00 ","$50,000.00 ",P I F
WINFIELD,IL,60190,JPMORGAN CHASE BANK NATL ASSOC,IL,812320,1,1,0,0,1,0,N,Y,"$50,000.00 ",$0.00 ,"$50,000.00 ","$40,000.00 ",P I F
ANDERSON,IN,46018,KEYBANK NATIONAL ASSOCIATION,OH,0,5,2,5,5,1,1,0,N,"$93,500.00 ",$0.00 ,"$93,500.00 ","$46,750.00 ",P I F
LOS ANGELES,CA,90061,"CITIBANK, N.A.",SD,0,8,1,0,8,1,1,Y,N,"$48,759.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",CHGOFF
LITTLE ROCK,AR,72209,BANK OF AMERICA NATL ASSOC,NC,811121,3,2,0,0,1,0,N,Y,"$45,238.00 ",$0.00 ,"$45,238.00 ","$40,714.00 ",P I F
SAN GABRIEL,CA,91776,BANK OF AMERICA NATL ASSOC,NC,541511,1,1,1,1,1,1,Y,N,"$25,000.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",CHGOFF
LOS ANGELES,CA,90021,BANK OF AMERICA CALIFORNIA N.A,CA,0,6,1,0,6,1,1,Y,N,"$49,999.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
BAY CITY,MI,48706,COMMERCIAL BANK,MI,444190,12,1,0,12,1,2,Y,N,"$961,778.00 ",$0.00 ,"$350,000.00 ","$175,000.00 ",CHGOFF
INDIANAPOLIS,IN,46214,"PNC BANK, NATIONAL ASSOCIATION",IL,0,3,2,0,0,1,0,N,N,"$155,000.00 ",$0.00 ,"$155,000.00 ","$139,500.00 ",P I F
PICO RIVERA,CA,90660,BBCN BANK,CA,711510,1,2,1,1,1,1,0,N,"$10,000.00 ",$0.00 ,"$10,000.00 ","$8,500.00 ",P I F
NEWBERG,OR,97132,WELLS FARGO BANK NATL ASSOC,SD,0,5,2,0,0,1,0,N,N,"$21,000.00 ",$0.00 ,"$21,000.00 ","$18,900.00 ",P I F
HOOKSETT (CENSUS NAME FOR HOOK,NH,3106,"OCEAN BANK, A DIVISION OF",NH,441310,1,1,1,1,1,1,0,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
Annapolis,MD,21401,SUNTRUST BANK,GA,519190,4,1,3,4,0,1,Y,N,"$225,000.00 ",$0.00 ,"$100,000.00 ","$50,000.00 ",P I F
Columbus,OH,43228,THE HUNTINGTON NATIONAL BANK,OH,315999,0,1,0,0,0,1,Y,N,"$54,333.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
MILTON,VT,5468,"TD BANK, NATIONAL ASSOCIATION",VT,0,6,2,0,0,1,0,N,N,"$490,000.00 ",$0.00 ,"$490,000.00 ","$392,000.00 ",P I F
HOUSTON,TX,77084,JPMORGAN CHASE BANK NATL ASSOC,IL,484110,1,2,1,1,0,1,N,N,"$25,800.00 ",$0.00 ,"$25,800.00 ","$12,900.00 ",P I F
NASHVILLE,TN,37214,BANK OF AMERICA NATL ASSOC,TN,0,3,1,0,0,1,0,0,N,"$75,000.00 ",$0.00 ,"$75,000.00 ","$37,500.00 ",P I F
MIAMI,FL,33172,FLORIDA BUS. DEVEL CORP,FL,424210,8,1,18,0,1,1,0,N,"$869,000.00 ",$0.00 ,"$869,000.00 ","$869,000.00 ",P I F
OMAHA,NE,68108,WELLS FARGO BANK NATL ASSOC,NE,0,10,2,0,0,1,0,0,Y,"$40,829.00 ",$0.00 ,"$50,000.00 ","$40,000.00 ",P I F
SUNBURY,PA,17801,SEDA-COG LOCAL DEVEL CORP,PA,0,31,1,31,0,1,0,N,N,"$793,000.00 ",$0.00 ,"$793,000.00 ","$793,000.00 ",P I F
CHARLESTON,WV,25302,BRANCH BK. & TR CO,WV,0,3,2,0,0,1,0,N,Y,"$100,000.00 ",$0.00 ,"$100,000.00 ","$90,000.00 ",P I F
STONE MOUNTAIN,GA,30087,"READYCAP LENDING, LLC",CA,541940,2,1,0,0,1,0,0,N,"$105,000.00 ",$0.00 ,"$105,000.00 ","$78,750.00 ",P I F
EFFORT,PA,18330,BBCN BANK,CA,561790,3,1,0,3,1,1,0,N,"$10,000.00 ",$0.00 ,"$10,000.00 ","$8,500.00 ",P I F
BARRINGTON,RI,2806,CITIZENS BANK NATL ASSOC,RI,334510,4,1,0,4,1,2,0,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
MIDDLEBORO (CENSUS NAME MIDDLE,MA,2346,CITIZENS BANK NATL ASSOC,RI,424120,5,1,0,5,1,1,Y,N,"$98,935.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
ALBUQUERQUE,NM,87107,BANK OF AMERICA NATL ASSOC,NC,512199,8,1,0,8,1,1,Y,N,"$15,500.00 ",$0.00 ,"$15,000.00 ","$7,500.00 ",P I F
LEES SUMMIT,MO,64063,U.S. BANK NATIONAL ASSOCIATION,OH,621310,1,1,0,1,0,1,N,N,"$20,000.00 ",$0.00 ,"$20,000.00 ","$10,000.00 ",P I F
BURLINGTON,WI,53105,KENOSHA AREA DEVELOPMENT,WI,811192,1,1,7,1,0,0,N,N,"$123,000.00 ",$0.00 ,"$123,000.00 ","$123,000.00 ",P I F
BALTIMORE HIGHLANDS,MD,21244,BBCN BANK,CA,512210,2,2,1,2,1,1,0,N,"$5,000.00 ",$0.00 ,"$5,000.00 ","$4,250.00 ",CHGOFF
AUSTIN,TX,78717,BANK OF AMERICA NATL ASSOC,NC,484110,7,1,3,7,0,1,Y,N,"$67,500.00 ",$0.00 ,"$45,000.00 ","$22,500.00 ",CHGOFF
PALM CITY,FL,34990,BANK OF AMERICA NATL ASSOC,FL,0,3,1,0,0,1,0,N,N,"$100,000.00 ",$0.00 ,"$100,000.00 ","$75,000.00 ",P I F
TRABUCO CANYON,CA,92679,CAPITAL BANK,CA,517911,1,1,0,1,0,1,Y,N,"$133,235.00 ",$0.00 ,"$100,000.00 ","$50,000.00 ",P I F
LA PUENTE,CA,91744,BANK OF AMERICA NATL ASSOC,NC,511130,1,2,1,1,1,1,Y,N,"$6,093.00 ",$0.00 ,"$6,000.00 ","$3,000.00 ",P I F
SALT LAKE CITY,UT,84106,MOUNTAIN AMERICA FCU,UT,511199,1,2,0,1,1,1,0,N,"$35,000.00 ",$0.00 ,"$35,000.00 ","$17,500.00 ",CHGOFF
Wantagh,NY,11793,COMMUNITY NATIONAL BANK,NY,424490,1,1,1,1,0,2,N,N,"$175,000.00 ",$0.00 ,"$175,000.00 ","$131,250.00 ",P I F
MEDFORD,MA,2155,CITIZENS BANK NATL ASSOC,RI,238350,1,1,0,1,0,1,N,N,"$18,900.00 ",$0.00 ,"$18,900.00 ","$9,450.00 ",P I F
FORTY FORT,PA,18704,"PNC BANK, NATIONAL ASSOCIATION",DE,0,11,1,0,0,0,0,N,N,"$100,000.00 ",$0.00 ,"$100,000.00 ","$80,000.00 ",CHGOFF
ELKHORN,WI,53121,ASSOCIATED BANK NATL ASSOC,WI,238990,0,1,0,0,0,1,N,N,"$46,000.00 ",$0.00 ,"$46,000.00 ","$23,000.00 ",P I F
BEALETON,VA,22712,"BUSINESS FINANCE GROUP, INC.",VA,624410,57,1,7,0,1,2,N,N,"$218,000.00 ",$0.00 ,"$218,000.00 ","$218,000.00 ",P I F
LAS VEGAS,NV,89103,NEVADA ST. DEVEL CORP,NV,422480,40,1,14,26,1,0,N,N,"$455,000.00 ",$0.00 ,"$455,000.00 ","$455,000.00 ",P I F
SARASOTA,FL,34243,REGIONS BANK,AL,442110,20,1,3,20,0,1,Y,N,"$525,000.00 ",$0.00 ,"$350,000.00 ","$175,000.00 ",P I F
AMBLER,PA,19002,CITIZENS BANK NATL ASSOC,RI,424110,3,1,0,3,0,1,Y,N,"$13,493.00 ",$0.00 ,"$5,000.00 ","$2,500.00 ",P I F
Los Angeles,CA,90014,CALIFORNIA BANK & TRUST,CA,424340,2,1,0,2,1,1,N,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",CHGOFF
BOSTON,MA,2116,BANK OF AMERICA NATL ASSOC,RI,722110,5,1,2,5,1,1,Y,N,"$12,000.00 ",$0.00 ,"$12,000.00 ","$6,000.00 ",P I F
LANCASTER,PA,17601,UNION COMMUNITY BANK,PA,0,1,1,0,0,1,0,N,Y,"$80,000.00 ",$0.00 ,"$80,000.00 ","$64,000.00 ",P I F
SALT LAKE CITY,UT,84115,WELLS FARGO BANK NATL ASSOC,CA,484110,10,1,0,10,1,1,Y,N,"$35,000.00 ",$0.00 ,"$35,000.00 ","$17,500.00 ",P I F
MUSKEGON,MI,49446,"PNC BANK, NATIONAL ASSOCIATION",IL,0,27,1,0,0,1,0,N,N,"$68,000.00 ",$0.00 ,"$68,000.00 ","$51,000.00 ",P I F
BURLESON,TX,76028,UNITED CENTRAL BANK,TX,447110,4,1,0,4,1,1,0,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$42,500.00 ",P I F
West Covina,CA,91790,HANMI BANK,CA,722211,6,1,0,6,0,1,N,N,"$112,500.00 ",$0.00 ,"$112,500.00 ","$56,250.00 ",CHGOFF
CARTHAGE,MS,39051,FIRST FINANCIAL BANK,AR,112320,2,1,0,2,0,1,N,N,"$24,500.00 ",$0.00 ,"$24,500.00 ","$22,050.00 ",P I F
LINCOLN,NE,68516,UNION BANK AND TRUST COMPANY,NE,0,12,1,0,0,1,0,N,N,"$75,000.00 ",$0.00 ,"$75,000.00 ","$63,750.00 ",P I F
TUCSON,AZ,85718,JPMORGAN CHASE BANK NATL ASSOC,IL,541430,2,2,2,2,0,1,Y,N,"$69,978.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
PALISADES PARK,NJ,7650,HSBC BK USA NATL ASSOC,VA,424330,2,1,0,2,1,1,0,N,"$100,000.00 ",$0.00 ,"$100,000.00 ","$50,000.00 ",CHGOFF
BENNINGTON,VT,5201,"SUPERIOR FINANCIAL GROUP, LLC",CA,445120,8,2,1,8,0,2,N,,"$5,000.00 ",$0.00 ,"$5,000.00 ","$4,500.00 ",CHGOFF
ORANGE,CT,6477,BANK OF AMERICA NATL ASSOC,NC,442299,2,2,0,2,0,1,N,N,"$10,000.00 ",$0.00 ,"$10,000.00 ","$5,000.00 ",P I F
SAN DIEGO,CA,92121,WELLS FARGO BANK NATL ASSOC,SD,444190,1,2,0,1,0,1,Y,N,"$75,154.00 ",$0.00 ,"$30,000.00 ","$15,000.00 ",CHGOFF
SNELLVILLE,GA,30039,BBCN BANK,CA,812199,1,2,3,0,0,1,N,N,"$15,000.00 ",$0.00 ,"$15,000.00 ","$12,750.00 ",CHGOFF
PLYMOUTH,MA,2360,BAY COLONY DEVEL CORP,MA,334513,115,1,35,0,1,0,N,N,"$991,000.00 ",$0.00 ,"$991,000.00 ","$991,000.00 ",P I F
BOCA RATON,FL,33431,BANK OF AMERICA NATL ASSOC,NC,713990,2,1,0,2,1,1,Y,N,"$6,000.00 ",$0.00 ,"$6,000.00 ","$3,000.00 ",P I F
STEWART,MN,55385,MINNWEST BANK,MN,235110,1,1,0,0,1,0,0,Y,"$67,500.00 ",$0.00 ,"$67,500.00 ","$54,000.00 ",P I F
DODGEVILLE,WI,53533,BMO HARRIS BK NATL ASSOC,IL,512110,3,2,3,3,1,1,Y,N,"$29,000.00 ",$0.00 ,"$29,000.00 ","$14,500.00 ",P I F
HOUSTON,TX,77025,WELLS FARGO BANK NATL ASSOC,TX,0,7,1,0,0,1,0,N,N,"$150,000.00 ",$0.00 ,"$150,000.00 ","$135,000.00 ",P I F
DUNEDIN,FL,34698,WELLS FARGO BANK NATL ASSOC,SD,0,15,1,0,0,1,0,0,N,"$343,000.00 ",$0.00 ,"$343,000.00 ","$257,250.00 ",CHGOFF
URBANA,IL,61801,CENTRAL ILLINOIS BANK A BRANCH,IL,0,2,2,0,0,1,0,N,Y,"$60,000.00 ",$0.00 ,"$60,000.00 ","$54,000.00 ",CHGOFF
ORANGE,CA,92865,FIRST-CITIZENS BK & TR CO,NC,453220,80,1,5,85,1,1,0,N,"$241,200.00 ",$0.00 ,"$241,200.00 ","$180,900.00 ",P I F
ATLANTA,GA,30338,BANK OF AMERICA NATL ASSOC,GA,812320,4,1,0,0,1,0,N,Y,"$64,000.00 ",$0.00 ,"$64,000.00 ","$57,600.00 ",P I F
UPLAND,CA,91786,WELLS FARGO BANK NATL ASSOC,SD,0,14,1,0,0,1,0,N,N,"$130,000.00 ",$0.00 ,"$130,000.00 ","$97,500.00 ",P I F
BRUNSWICK,GA,31520,COASTAL AREA DISTRICT DEVEL AU,GA,721110,22,2,22,22,53165,2,N,N,"$740,000.00 ",$0.00 ,"$740,000.00 ","$740,000.00 ",P I F
MILLS,WY,82644,FRONTIER CERT. DEVEL CO,WY,331511,25,2,25,4,1,0,N,N,"$312,000.00 ",$0.00 ,"$312,000.00 ","$312,000.00 ",P I F
PITTSBURGH,PA,15222,CITIZENS BANK NATL ASSOC,RI,561612,6,1,3,9,0,1,N,N,"$45,000.00 ",$0.00 ,"$45,000.00 ","$22,500.00 ",CHGOFF
CHICAGO,IL,60610,BANK OF AMERICA NATL ASSOC,NC,722410,15,1,0,15,0,1,T,N,"$52,650.00 ",$0.00 ,"$35,000.00 ","$17,500.00 ",P I F
ROSEVILLE,CA,95661,UMPQUA BANK,OR,621399,1,1,0,1,1,1,0,N,"$90,000.00 ",$0.00 ,"$90,000.00 ","$76,500.00 ",P I F
DEARBORN,MI,48126,CITIZENS BANK NATL ASSOC,RI,447190,3,1,0,3,0,1,Y,N,"$28,546.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
MILLEDGEVILLE,GA,31061,BRANCH BK. & TR CO,GA,445310,5,2,0,0,1,0,N,N,"$212,000.00 ",$0.00 ,"$212,000.00 ","$159,000.00 ",P I F
GARLAND,TX,75042,"CITIBANK, N.A.",TX,0,2,2,0,0,1,0,N,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$41,500.00 ",P I F
ENDICOTT,NY,13760,NEWTEK SMALL BUS. FINANCE INC.,NY,811112,6,2,0,0,1,0,N,N,"$270,000.00 ",$0.00 ,"$270,000.00 ","$202,500.00 ",CHGOFF
BUENA PARK,CA,90620,BANK OF AMERICA CALIFORNIA N.A,CA,0,1,1,0,1,1,1,Y,N,"$10,200.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
HIALEAH,FL,33016,CAPITAL ONE NATL ASSOC,VA,423910,3,1,1,3,1,1,0,N,"$50,000.00 ",$0.00 ,"$50,000.00 ","$25,000.00 ",P I F
FORT COLLINS,CO,80524,"COLORADO LENDING SOURCE, LTD.",CO,0,6,1,12,6,1,0,N,N,"$185,000.00 ",$0.00 ,"$185,000.00 ","$185,000.00 ",P I F
FORT LAUDERDALE,FL,33309,"CITIBANK, N.A.",FL,522310,29,1,0,29,1,1,Y,N,"$25,000.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",CHGOFF
INDIANAPOLIS,IN,46250,CITIZENS BANK NATL ASSOC,RI,561320,10,2,20,30,1,1,Y,N,"$186,460.00 ",$0.00 ,"$100,000.00 ","$50,000.00 ",P I F
TOWNSEND,MT,59644,FLATHEAD BANK OF BIGFORK,MT,488510,5,1,3,5,0,2,N,N,"$35,000.00 ",$0.00 ,"$35,000.00 ","$35,000.00 ",CHGOFF
PONTIAC,MI,48342,CITIZENS BANK NATL ASSOC,RI,423840,3,1,2,5,0,1,Y,N,"$93,497.00 ",$0.00 ,"$44,000.00 ","$22,000.00 ",CHGOFF
MONTGOMERY,AL,36109,BBCN BANK,CA,561740,1,1,0,1,1,1,0,N,"$10,000.00 ",$0.00 ,"$10,000.00 ","$8,500.00 ",P I F
SCOTTSDALE,AZ,85255,JPMORGAN CHASE BANK NATL ASSOC,IL,541219,1,2,0,1,0,1,Y,N,"$10,000.00 ",$0.00 ,"$10,000.00 ","$5,000.00 ",P I F
ST. PETERSBURG,FL,33704,BANK OF AMERICA NATL ASSOC,NC,541211,3,1,0,0,1,1,N,N,"$126,000.00 ",$0.00 ,"$126,000.00 ","$107,100.00 ",P I F
GOWANDA,NY,14070,FIRST NIAGARA BANK NATL ASSOC,NY,531120,1,2,0,1,1,1,N,N,"$76,500.00 ",$0.00 ,"$85,000.00 ","$63,750.00 ",P I F
SANTA FE SPRINGS,CA,90670,MUFG UNION BANK NATL ASSOC,CA,493110,1,2,0,0,1,1,0,N,"$10,000.00 ",$0.00 ,"$10,000.00 ","$5,000.00 ",CHGOFF
BOUNTIFUL,UT,84010,U.S. BANK NATIONAL ASSOCIATION,OH,0,2,1,0,0,1,0,N,Y,"$50,000.00 ",$0.00 ,"$50,000.00 ","$40,000.00 ",P I F
PANAMA CITY,FL,32401,GULFCOAST BUS. FINANCE INC.,FL,323119,95,1,45,0,1,2,0,N,"$1,280,000.00 ",$0.00 ,"$1,280,000.00 ","$1,280,000.00 ",P I F
ROSELLE PARK,NJ,7204,BANK OF AMERICA NATL ASSOC,RI,621210,3,1,0,3,1,1,Y,N,"$25,000.00 ",$0.00 ,"$25,000.00 ","$12,500.00 ",P I F
BRITT,MN,55710,WELLS FARGO BANK NATL ASSOC,MN,0,2,1,0,0,1,0,0,N,"$40,000.00 ",$0.00 ,"$40,000.00 ","$32,000.00 ",P I F
